"","text"
"1","abu dhabi grand prix max verstappen clinches  win      note  belgiumborn max verstappen "
"2","belgian gp max verstappen targetingvictory "
"3","ftrolls thats incorrect red bull racing     max verstappen clones  onwards"
"4","jdgmntdaybutler brooklynlatham  daniel ricciardo beat max verstappen  equal machinery  daniil kvyat beat "
"5","abu dhabi max verstappen   dominated sundays abu dhabi grand prix   season    quick  "
"6","max verstappen wins  abu dhabi fia  gp watch  highlights  teammate george russell  manage  vi "
"7","max verstappen booed   abu dhabi gp fans   reacts   race win "
"8","luanbrendo adautoracing perez   fucking legend verstappen max abu dhabi "
"9","formula  highestpaid drivers max verstappen zooms past lewis hamilton "
"10","formula  highestpaid drivers max verstappen zooms past lewis hamilton forbes "
"11","time  running  sign    try  luck  beating oracle red bull racings max verstappen   virtual  "
"12","dont  complaining  verstappen fans   defending checo    xenophobic comments  ur own chan "
"13","real footage  max verstappen   context    imagine  "
"14","red bulls  champion  unbeatable   bank    estimated million  salary  bonus  ye "
"15","max verstappen caps fine   abu dhabi glory  lewis hamilton limps home "
"16","red bull racing added   championship success  final  race weekend  max verstappen     "
"17"," energy  max verstappen driving   despite    drivers license "
"18","te detesto max verstappen"
"19","max verstappen   winner   mexico grand prix "
"20","smoking   max verstappen pack smokin   max verstappen pack engine blew       track "
"21","  fight   championship     race     little   sergio prez "
"22","  people tweeting   red bull favours  driver  max verstappen   watched   seb "
"23","espnf  yall    max verstappen   wins    won  "
"24","  words  max verstappen  theres  wrong   im    "
"25","   season  yesterday  series official logistics partner dhl awards max verstappen    "
"26","champion max verstappen   season  th win "
"27","urbanreeverb espnf   except    picture  max  wins  people  actually read  "
"28","theninjapeezy unitedlif skysportsf hamilton threw  tamper tantrum  time russell       "
"29","skysportsf verstappen   completed   dominant season   history winning   rac "
"30","martin brundle george russell stays calm  win sao paulo gp  lewis hamilton clashes  max verstappen  sports"
"31","skysportsf double formula world champion max verstappen  reiterated   current red bull contract cou "
"32","nelsoncfbt formullana    hatred  mercedes  lh fans  created  max verstappen  makes  "
"33","    wnker  max verstappen justsayin  "
"34","bbcnews yeah  max verstappen won   championship fairly "
"35","max verstappen    retire    red bull contract aged      stuff "
"36","  touched   devil max verstappen mount   scored  sad       bac "
"37","karranoconnor jos verstappen christian horner  helmut marko  neither  examples    sport max  "
"38","allthatglitz drobbs    arguments run    memes  leave   leclercs own opinion  "
"39","news formel max verstappen gewinnt saisonfinale  abu dhabi   published   "
"40"," topps sapphire formula max verstappen negative psa  ebay"
"41","jeremy clarksonhas calledmax verstappena spoiled entitled brat    column  formertopgearpres "
"42","willowroses     abuse  max verstappen"
"43","jefferywerkins cobratate max verstappen  "
"44","max verstappen    retire  "
"45","      innovation partner redbullracing     bang   recordsetting th win   "
"46","rbrzoe petition  rename   max verstappens hairpin"
"47","yuki tsunoda  win   grand prix   home country   rig max verstappens car    "
"48","red bull  celebrate recordbreaking season  style november  am  news live race commentary "
"49"," lineup red bull max verstappen sergio perez ferrari charles leclerc carlos sainz  "
"50","leclerc   drivers championship     finish  ferrari  team championship congratulations  "
"51","haasfteam        battle resulted    lap showdown  max verstappen amp lewis ham "
"52","therealdcf  disgusting commentary   process surrounding perez  verstappen max  toxic  reb "
"53","karranoconnor max verstappen brands jeremy clarkson   fat slob "
"54"," logansargeant williamsracing breaking max verstappen  champion   world"
"55","gp blog jos verstappen   attitude  max thats  makes   extremely   josverstappen "
"56","thecaronmydesktoday max verstappens world championship winning red bullhonda rbb  skyf cf "
"57","ashwoody max  warrior  goat verstappen    name "
