"","text"
"1","  heartfelt message  sent  russian driver nikita mazepin  vettel ricciardo latifi  schumacher  "
"2","formulanerds nikitamazepin im      advice   especially  world champion vettle"
"3","advice  nikitamazepin  instagram  abudhabigp "
"4","   instagram post  nikita mazepin   "
"5","aldas logan sargeant    american version  nikita mazepin btw  theres  "
"6","peace  love     real weird   signing    support  genocide   ukrainian people "
"7","nikita mazepins message  mick schumacher  grew    sport    wish  luck  forward "
"8","nikita mazepin  offered  advice  vettel ricciardo    drivers departing   "
"9","formulalinds nikitamazepin  wanna   hes  rn bc       leaving    near "
"10","   id   day  nikita mazepin    smile   indeed  topsyturvy world  live  "
"11"," hope nikita mazepin    day  awesome   postf thinkpieces"
"12","sebastian vettel daniel ricciardo amp mick schumacher  nikita mazepins advice "
"13","  crack     smoke  smoke crack nikitamazepin "
"14","seeing nikita mazepins post   lying   floor  laughter"
"15","breaking nikita mazepin  signed  oneyear contract  alphatauri"
"16","  sex offender chiming  shut  nikita mazepin challenge "
"17"," top  drivers   time   book sir lewis hamilton nikita mazepin charles leclerc mich "
"18","adehilmt nikita mazepin redemption arc"
"19","schumihoney  nikita mazepin equating    career  seb daniel  nick"
"20","nikita mazepins word  wisdom  seb daniel latifi  mick actually   pretty   "
"21","  nikita mazepin   audacity   career advice  sebastian mf vettel"
"22"," nikita mazepin lost  mindf "
"23","brrrake   video   nikita mazepin  destroy max    car"
"24","   psychoanalyse km imans obsession  nikita mazepin"
"25","  whatever drug nikita mazepin "
"26","nikitamazepin preaching abudhabigp  "
"27","ini    nikita mazepin"
"28","oliverdirtyb haas misused  potential  mick especially  publicly blackmailing   score     "
"29"," life  dream   drive  mclaren nikita mazepin"
"30","nikita mazepin spins    lead    gp"
"31","valtteri bottas  nikita mazepin  race  aston martin   upcoming season"
"32","nikita mazepin   rear tyre puncture      austrian grand prix"
"33","nikita mazepin  join  indycar  nbc tv booth  season"
"34","haasfteam schumachermick    support haas anymore  hope   return   tail  "
"35","matthew tradersz cobratate lance stroll nicholas latifi nikita mazepin formerly"
"36","nikita mazepin spins    lead   belgian gp"
"37","oshillex   remind   nikita mazepin"
"38","bafcmower espnf nikita mazepin   won wdc    mercs   halfway comp "
"39","special guest column  nikita mazepin  "
"40","nikita mazepin    race wins  hamilton  season "
"41","   actually forgot  nikita mazepin"
"42","russian tycoon dmitry mazepin  internationally   father  former  driver nikita   dropped  "
"43","nikita mazepin  zhou guanyu  race  ferrari   upcoming season"
"44","breaking daniel ricciardo   replaced  nikita mazepin  alphatauri"
"45","jensonbutton  talking  nikita mazepin"
"46","breaking nikita mazepin   replaced  alex albon  haas"
"47","george russell  nikita mazepin  collide      finish  race"
"48","kamilkazani haasautomation   react quickly   aware  public sentiment "
"49","glovergreen wotanmars kamilkazani haasautomation yes     russian driver   son     sp "
"50","enginemode stuff  gentlemans agreement  nikita mazepin"
"51","oshillex     retired  honor   goat nikita mazepin"
"52","nikita mazepin  join  nascar  fox tv booth  season"
"53"," miss nikita mazepin"
"54","oxbellows mmck formularacers     series   simply isnt talent  ff women  "
"55","bantersteiner looks   nikita mazepin"
"56"," redbullracing    drivers   common nikita mazepin nicolas latifi rio haryanto lando norris  "
"57","   drivers   common nikita mazepin nicolas latifi rio haryanto lando norris yuji ide sean gelae "
"58","amalshura    drivers   common nikita mazepin nicolas latifi rio haryanto lando norris yuji ide "
"59"," twitter decides     route  nikita mazepins career contact   discord jamo    insta "
"60","yungtwiz aesyuki alexaibono mentioning cornell   score   nikita mazepin   hamiltons merc drive  "
"61","nikita mazepin    accident  cause  safety car   saudi arabian gp"
"62","paul menard  nikita mazepin fought  pit road    race"
"63","   era nikita mazepin  announced  retirement"
"64","brandonf id   nikita mazepins  tattoed   butt cheek  buying lewis hamilton merch"
"65","joblessaccount izhiop bonzzf formuiajas schumihoney ocon owns   govt mick barely owns nikita mazepin"
"66"," top  drivers   time   book sir lewis hamilton nikita mazepin charles leclerc mich "
"67","mcmanus formuladani davebradshaw five  time penalty wouldve demoted max  third  yes lewis pr "
"68","dragonwheels hunterwillier andrewjehome wbuxtonofficial redbullracing hamilton   reprimands  third "
"69"," top drivers  century according   book nikita mazepin kevin magnussen jenson button feli "
"70","callum ilott    driver ive  raced  nikita mazepin"
"71","nikitamazepin  stay vindicated "
"72","nikita mazepin crashes     romain grosjean  loses  front wing"
"73","breaking nikita mazepin   replaced  fernando alonso  alphatauri"
