"","text"
"1","sergio perez   fucking push    coward"
"2","red bull racing added   championship success  final  race weekend  max verstappen     "
"3","  fight   championship     race     little   sergio prez "
"4","allthatglitz drobbs    arguments run    memes  leave   leclercs own opinion  "
"5","jeremy clarksonhas calledmax verstappena spoiled entitled brat    column  formertopgearpres "
"6"," lineup red bull max verstappen sergio perez ferrari charles leclerc carlos sainz  "
"7","leclerc   drivers championship     finish  ferrari  team championship congratulations  "
"8","   feeling  sergio perez doesnt    fuck    loser  "
"9","top drivers   championship  max verstappen charles leclerc sergio perez  racecrate "
"10"," red bull       terms     updates     rb losing weight costs "
"11","carlos sainz max verstappen charles leclerc sergio perez lewis hamilton surprise alfa romeo victory "
"12","  sergio perez  yesterdays abudhabigp means  charles leclerc  runners  spot   champio "
"13","twommof    weekend charles team  aston martin    weekend sergio perez  am sorry     "
"14","sergio perez rb   commentary  view  pit lane  via youtube schecoperez redbullracing silverstoneuk"
"15"," sergio perez started strong     season       finished    champi "
"16","         sergio perez    driver    exceptional   tra "
"17"," sergio perez  unable  match max verstappen   battle   world championship  red bull boss "
"18","monday morning sportmphmarks post race analysis thats       takes  look    "
"19","   wallpapers   nights podium   abudhabigp max verstappen charles leclerc amp sergio prez   "
"20","max verstappen  explained   didnt block charles leclerc  help sergio perez   abudhabigp   "
"21","red bull finishes   season    victory unfortunately sergio perez   settle  third "
"22","   sergio checo perez   simply  destroy  sets  front tyres   faster   abu dhabi "
"23","max verstappen cruised  victory  abudhabigp  ferraris charles leclerc    finish ahead  sergio "
"24","redbull giving massive discounts  sergio perez merch rn "
"25"," christian horner    sergio perez   chance  challenge max verstappen  th "
"26"," ferrari  revealed     dummy radio message  trick red bull  putting sergio perez    tw "
"27","  drivers  driver   day  season max verstappen charles leclerc sebastian vettel lewis "
"28","sergio perez   beaten charles leclerc   teammate      abudhabigp  red bull  "
"29","ferrari  charles leclerc   dummy radio message  forced red bull  opt   stop strategy  sergio perez  abudhabigp"
"30"," battle   pride    fs drivers championship   tactical affair  charles leclerc "
"31","milton keynes  run  list   run acts  max verstappen  sergio perez  nas "
"32"," saturday december max verstappen sergio perez  christian horner    red bull racing rb   "
"33","ferrari   dummy radio message  push red bull  pitting sergio perez    time   abudhabigp "
"34","katiiamunguia schecoperez remember    ago sergio perez   cut   team   facing  "
"35","sergio perezshould accept   red bulls   driver behindmax verstappenor leave  team according  "
"36"," guy  unbelievable   true egocentric colors    perez     sergio "
"37","redbullracing maxverstappen vladimirrys  dominant performance   dominant season  super max  goat  "
"38","sergio perez        abu dhabi gp despite ultimately coming  short   fight    "
"39","  top spot   drivers  teams   sealed   abudhabigp ferrari finished nd   "
"40","    start  finish charles leclerc hails  perfect race   beat sergio perez     "
"41","max verstappen  seized  final pole position      blistering lap  qualifying   seasonen "
"42","sergio prez moving past brazilian gp drama  max verstappen    "
"43"," surviving   war  sergio perez charles leclerc warns champion max verstappen   seas "
"44","helmut marko blames sergio perez mistake  red bull losing  ferrari  abu dhabi  sport dutchnews "
"45","sergio perez spins    lead   italian gp held  imola"
"46","khalilracing schecoperez checopereznews aguirrealuis checo   happen   season sergio prez worl "
"47","carlossainz  start theabudhabigrandprix  fourth   grid    directly  ferrari teammat "
"48","top searches  netherlands   qatar  wk  sebastian vettel  noppert  benzema  nederland "
"49","red bulls max verstappen won  final race   season  abu dhabi  ferraris charles leclerc beat  dutch "
"50","   season ratings  red bull max verstappen sergio perez ferrari charles leclerc  "
"51","sergio perez cheated   wife max verstappens mum accusesmexican "
"52","max verstappen letting sergio perez  wouldnt   nicest   finish "
"53","checolover  ago sergio  cut   aston     seb   perez  doing    "
"54","helmut marko makes statement blames sergio perez red bull loosing nd spot  charles laclerc wow heres  stateme "
"55","  possibly block   mean   fair racing     nicest      championshi "
"56","abu dhabi grand prix max verstappen red bull   willing     help sergio prez  itfair "
"57","helmut marko blames sergio perez mistake  red bull losing  ferrari  abu dhabi express "
